t_s,dtw_open,env,fsm,gripper,fired
30.956,1279.22,11.5,IDLE,open,
31.020,1269.40,13.8,IDLE,open,
31.066,1325.17,45.7,PULSE,open,
31.100,1527.47,222.7,PULSE,open,
31.159,1694.53,247.4,PULSE,open,
31.208,899.28,72.4,PULSE,open,
31.254,946.53,54.4,PULSE,open,
31.316,1185.19,195.7,PULSE,open,
31.360,1279.46,230.3,PULSE,open,
31.406,1515.95,230.8,PULSE,open,
31.454,1687.20,215.0,PULSE,open,
31.498,1692.48,168.3,PULSE,open,
31.547,1630.28,108.9,PULSE,open,
31.590,889.25,54.6,PULSE,open,
31.639,492.68,13.5,REFRACTORY,open,open
31.683,552.57,19.9,REFRACTORY,open,
31.730,629.96,36.7,REFRACTORY,open,
31.778,661.28,44.2,REFRACTORY,open,
31.823,711.93,48.3,REFRACTORY,open,
31.874,737.01,48.2,REFRACTORY,open,
31.916,712.05,46.9,REFRACTORY,open,
31.964,716.84,46.9,REFRACTORY,open,
32.009,717.32,44.6,REFRACTORY,open,
32.056,711.42,41.2,REFRACTORY,open,
32.103,720.27,39.2,REFRACTORY,open,
32.148,701.06,37.4,REFRACTORY,open,
32.198,708.84,34.2,REFRACTORY,open,
32.243,783.62,34.2,REFRACTORY,open,
32.292,796.03,32.7,REFRACTORY,open,
32.338,727.08,33.1,REFRACTORY,open,
32.384,711.43,34.2,REFRACTORY,open,
32.427,637.47,35.3,REFRACTORY,open,
32.477,632.82,35.0,REFRACTORY,open,
32.527,653.17,34.8,REFRACTORY,open,
32.571,642.54,34.3,REFRACTORY,open,
32.621,629.13,32.0,REFRACTORY,open,
32.665,618.79,22.7,REFRACTORY,open,
32.713,551.51,15.1,REFRACTORY,open,
32.762,506.48,7.9,REFRACTORY,open,
32.807,503.76,7.6,REFRACTORY,open,
32.851,565.26,14.6,REFRACTORY,open,
32.901,598.48,22.8,REFRACTORY,open,
32.949,616.35,31.9,REFRACTORY,open,
32.993,691.94,38.2,REFRACTORY,open,
33.041,940.51,40.7,REFRACTORY,open,
33.088,1148.41,43.6,REFRACTORY,open,
33.131,991.21,38.5,REFRACTORY,open,
33.182,1008.71,35.2,REFRACTORY,open,
33.279,1798.39,23.1,REFRACTORY,open,
33.334,1639.64,15.0,REFRACTORY,open,
33.387,1460.75,12.7,REFRACTORY,open,
33.429,1307.48,11.8,REFRACTORY,open,
33.474,1147.59,14.0,REFRACTORY,open,
33.523,1079.75,18.2,REFRACTORY,open,
33.568,1028.23,26.4,REFRACTORY,open,
33.620,1028.98,33.5,REFRACTORY,open,
33.661,1045.87,37.5,REFRACTORY,open,
33.710,1029.88,38.5,REFRACTORY,open,
33.768,1014.87,36.9,REFRACTORY,open,
33.817,986.29,34.5,REFRACTORY,open,
33.861,965.85,29.2,REFRACTORY,open,
33.909,949.71,25.1,REFRACTORY,open,
33.956,941.35,22.4,REFRACTORY,open,
34.001,935.63,20.0,REFRACTORY,open,
34.035,935.42,18.4,REFRACTORY,open,
34.081,936.95,18.3,REFRACTORY,open,
34.144,947.32,16.3,REFRACTORY,open,
34.189,956.30,16.6,REFRACTORY,open,
34.236,961.84,17.1,IDLE,open,
34.284,965.12,16.8,IDLE,open,
34.329,972.90,17.4,IDLE,open,
34.381,970.38,19.3,IDLE,open,
34.422,975.02,21.9,IDLE,open,
34.470,976.65,21.4,IDLE,open,
34.514,981.22,21.3,IDLE,open,
34.560,987.42,18.5,IDLE,open,
34.608,1017.05,16.4,IDLE,open,
34.652,1043.81,13.9,IDLE,open,
34.702,999.41,9.0,IDLE,open,
34.746,968.23,7.7,IDLE,open,
34.794,952.09,5.6,IDLE,open,
34.839,944.39,5.7,IDLE,open,
34.886,937.26,9.7,IDLE,open,
34.934,939.82,16.2,IDLE,open,
34.978,943.97,21.8,IDLE,open,
35.030,953.56,28.5,IDLE,open,
35.073,970.48,32.6,IDLE,open,
35.122,993.33,36.1,IDLE,open,
35.167,1017.78,39.2,IDLE,open,
35.213,1035.55,41.6,PULSE,open,
35.255,1066.06,43.5,PULSE,open,
35.305,1137.73,45.2,PULSE,open,
35.354,1136.02,44.8,PULSE,open,
35.397,1113.29,42.7,PULSE,open,
35.447,1090.91,44.0,PULSE,open,
35.491,1055.11,41.5,PULSE,open,
35.539,1010.64,38.1,PULSE,open,
35.588,984.47,36.0,PULSE,open,
35.632,961.26,33.5,PULSE,open,
35.681,951.93,28.0,PULSE,open,
35.724,966.49,25.5,PULSE,open,
35.772,964.98,24.4,PULSE,open,
35.818,980.95,20.6,REFRACTORY,open,
35.864,978.93,16.9,REFRACTORY,open,
35.914,985.41,14.9,REFRACTORY,open,
35.958,980.44,14.6,REFRACTORY,open,
36.009,982.35,13.6,REFRACTORY,open,
36.053,924.84,8.9,REFRACTORY,open,
36.102,922.12,5.1,REFRACTORY,open,
36.146,917.44,4.0,REFRACTORY,open,
36.194,914.12,3.2,REFRACTORY,open,
36.244,909.79,5.8,REFRACTORY,open,
36.287,920.32,6.6,REFRACTORY,open,
36.337,907.31,8.5,REFRACTORY,open,
36.379,898.47,10.0,REFRACTORY,open,
36.443,910.07,11.2,REFRACTORY,open,
36.485,908.18,12.5,REFRACTORY,open,
36.535,932.81,14.3,REFRACTORY,open,
36.579,931.23,14.4,REFRACTORY,open,
36.624,934.11,15.0,REFRACTORY,open,
36.673,931.96,15.4,REFRACTORY,open,
36.720,925.73,15.2,REFRACTORY,open,
36.767,913.37,14.6,REFRACTORY,open,
36.805,904.01,15.1,REFRACTORY,open,
36.858,892.89,14.8,REFRACTORY,open,
36.902,886.73,14.1,REFRACTORY,open,
36.950,890.41,13.3,REFRACTORY,open,
36.998,888.83,14.9,REFRACTORY,open,
37.042,929.96,13.5,REFRACTORY,open,
37.092,984.25,9.3,REFRACTORY,open,
37.133,1012.66,7.0,REFRACTORY,open,
37.181,1032.56,6.4,REFRACTORY,open,
37.226,1063.09,6.0,REFRACTORY,open,
37.271,1075.52,6.6,REFRACTORY,open,
37.320,1064.83,7.5,REFRACTORY,open,
37.365,1056.19,6.6,REFRACTORY,open,
37.413,1049.98,8.9,REFRACTORY,open,
37.457,1037.97,10.8,REFRACTORY,open,
37.506,1033.25,13.1,IDLE,open,
37.551,1030.38,13.3,IDLE,open,
37.612,1034.20,13.7,IDLE,open,
37.658,1032.01,14.2,IDLE,open,
37.694,1039.59,15.5,IDLE,open,
37.752,1070.57,14.2,IDLE,open,
37.795,1133.42,15.1,IDLE,open,
37.845,1272.87,14.0,IDLE,open,
37.887,1298.88,12.5,IDLE,open,
37.934,1281.78,10.8,IDLE,open,
37.979,1298.30,10.8,IDLE,open,
38.027,1287.97,8.7,IDLE,open,
38.069,1288.08,8.6,IDLE,open,
38.118,1274.48,8.4,IDLE,open,
38.169,1263.78,7.2,IDLE,open,
38.212,1243.09,7.4,IDLE,open,
38.305,1238.27,6.5,IDLE,open,
38.349,1226.28,7.7,IDLE,open,
38.400,1222.39,8.4,IDLE,open,
38.442,1227.10,9.8,IDLE,open,
38.490,1221.51,10.7,IDLE,open,
38.535,1214.12,9.3,IDLE,open,
38.583,1214.60,10.5,IDLE,open,
38.643,1230.93,12.8,IDLE,open,
38.689,1218.51,13.8,IDLE,open,
38.735,1241.03,15.5,IDLE,open,
38.782,1252.05,20.2,IDLE,open,
38.833,1271.38,23.1,IDLE,open,
38.875,1283.21,27.5,IDLE,open,
38.926,1267.32,29.3,IDLE,open,
38.971,1227.12,32.3,IDLE,open,
39.017,1240.66,35.9,IDLE,open,
39.063,1242.72,38.1,IDLE,open,
39.111,1233.16,37.1,IDLE,open,
39.162,1201.17,36.1,IDLE,open,
39.205,1172.84,31.8,IDLE,open,
39.254,1156.18,28.1,IDLE,open,
39.293,1154.52,24.6,IDLE,open,
39.343,1154.18,18.7,IDLE,open,
39.380,1158.67,14.9,IDLE,open,
39.437,1099.55,9.8,IDLE,open,
39.488,1091.23,6.9,IDLE,open,
39.530,1089.60,6.6,IDLE,open,
39.578,1079.75,7.9,IDLE,open,
39.621,1078.21,10.0,IDLE,open,
39.668,1075.71,13.8,IDLE,open,
39.707,1081.90,16.0,IDLE,open,
39.762,1080.23,17.1,IDLE,open,
39.812,1087.22,19.5,IDLE,open,
39.854,1101.40,23.5,IDLE,open,
39.902,1106.48,25.2,IDLE,open,
39.947,1117.68,27.7,IDLE,open,
39.994,1126.93,30.9,IDLE,open,
40.040,1141.49,31.8,IDLE,open,
40.085,1151.95,33.2,IDLE,open,
40.138,1165.54,33.6,IDLE,open,
40.181,1175.21,33.0,IDLE,open,
40.230,1185.32,33.7,IDLE,open,
40.274,1189.71,31.6,IDLE,open,
40.321,1182.22,32.1,IDLE,open,
40.368,1166.10,31.7,IDLE,open,
40.415,1157.13,32.7,IDLE,open,
40.468,1148.56,28.5,IDLE,open,
40.509,1147.13,26.6,IDLE,open,
40.556,1138.45,25.2,IDLE,open,
40.600,1126.31,22.9,IDLE,open,
40.647,1109.49,17.7,IDLE,open,
40.693,1088.55,15.0,IDLE,open,
40.739,1039.46,13.3,IDLE,open,
40.791,1035.42,13.2,IDLE,open,
40.833,1031.31,13.9,IDLE,open,
40.882,1033.52,14.5,IDLE,open,
40.927,1033.54,15.3,IDLE,open,
40.972,1037.06,18.0,IDLE,open,
41.035,1044.02,22.3,IDLE,open,
41.066,1046.72,23.8,IDLE,open,
41.119,1049.86,27.9,IDLE,open,
41.161,1053.66,27.4,IDLE,open,
41.208,1061.46,28.0,IDLE,open,
41.255,1082.04,26.4,IDLE,open,
41.314,1132.72,23.9,IDLE,open,
41.363,1138.74,22.3,IDLE,open,
41.409,1145.64,20.0,IDLE,open,
41.454,1139.83,17.6,IDLE,open,
41.502,1082.24,13.5,IDLE,open,
41.555,1049.09,6.1,IDLE,open,
41.595,1023.87,5.3,IDLE,open,
41.642,996.91,6.5,IDLE,open,
41.688,978.54,8.5,IDLE,open,
41.730,984.93,10.8,IDLE,open,
41.781,980.27,13.2,IDLE,open,
41.827,974.30,14.0,IDLE,open,
41.879,984.02,16.5,IDLE,open,
41.920,1001.70,16.7,IDLE,open,
41.969,1022.30,17.6,IDLE,open,
42.014,1032.99,17.9,IDLE,open,
42.060,1032.21,17.7,IDLE,open,
42.099,1033.15,17.8,IDLE,open,
42.154,1035.21,17.6,IDLE,open,
42.208,1040.56,18.1,IDLE,open,
42.247,1040.62,18.1,IDLE,open,
42.295,1049.89,18.9,IDLE,open,
42.341,1060.66,20.7,IDLE,open,
42.387,1067.74,18.7,IDLE,open,
42.434,1056.02,14.9,IDLE,open,
42.480,1067.44,18.9,IDLE,open,
42.523,1085.28,16.3,IDLE,open,
42.573,1108.26,15.0,IDLE,open,
42.621,1136.23,14.9,IDLE,open,
42.666,1093.20,12.0,IDLE,open,
42.712,1098.26,12.0,IDLE,open,
42.758,1070.93,11.5,IDLE,open,
42.805,1068.69,11.9,IDLE,open,
42.857,1063.03,13.7,IDLE,open,
42.898,1059.47,13.7,IDLE,open,
42.946,1049.58,14.3,IDLE,open,
42.990,1050.70,14.8,IDLE,open,
43.035,1053.77,14.4,IDLE,open,
43.082,1058.16,14.0,IDLE,open,
43.129,1062.34,14.2,IDLE,open,
43.180,1069.37,12.8,IDLE,open,
43.223,1081.66,13.0,IDLE,open,
43.317,1099.34,9.9,IDLE,open,
43.378,1168.89,9.3,IDLE,open,
43.413,1170.46,11.9,IDLE,open,
43.468,1200.55,15.9,IDLE,open,
43.520,1198.39,15.7,IDLE,open,
43.561,1182.67,15.6,IDLE,open,
43.608,1179.54,18.5,IDLE,open,
43.653,1184.53,15.9,IDLE,open,
43.699,1176.07,15.0,IDLE,open,
43.740,1168.89,16.1,IDLE,open,
43.793,1161.93,14.4,IDLE,open,
43.845,1158.73,13.6,IDLE,open,
43.885,1167.37,12.2,IDLE,open,
43.935,1165.31,13.9,IDLE,open,
43.981,1163.42,14.1,IDLE,open,
44.027,1171.33,15.0,IDLE,open,
44.072,1168.78,14.6,IDLE,open,
44.118,1164.30,14.1,IDLE,open,
44.170,1165.22,14.4,IDLE,open,
44.209,1168.08,14.3,IDLE,open,
44.259,1159.92,13.4,IDLE,open,
44.304,1142.72,11.9,IDLE,open,
44.351,1176.37,10.8,IDLE,open,
44.399,1147.49,9.4,IDLE,open,
44.445,1128.61,7.9,IDLE,open,
44.496,1229.76,6.7,IDLE,open,
44.538,1230.57,6.2,IDLE,open,
44.587,1229.75,6.0,IDLE,open,
44.631,1222.96,2.7,IDLE,open,
44.679,1218.48,4.0,IDLE,open,
44.725,1208.21,4.2,IDLE,open,
44.772,1211.34,5.8,IDLE,open,
44.824,1205.59,7.9,IDLE,open,
44.867,1202.15,9.1,IDLE,open,
44.914,1196.50,10.2,IDLE,open,
44.958,1195.77,11.3,IDLE,open,
45.006,1209.68,14.0,IDLE,open,
45.053,1214.61,16.1,IDLE,open,
45.099,1216.69,14.8,IDLE,open,
45.151,1212.52,13.5,IDLE,open,
45.193,1218.39,16.4,IDLE,open,
45.242,1214.06,15.8,IDLE,open,
45.287,1188.49,13.8,IDLE,open,
45.333,1188.55,12.3,IDLE,open,
45.379,1201.60,10.2,IDLE,open,
45.425,1193.26,9.4,IDLE,open,
45.487,1166.08,6.5,IDLE,open,
45.534,1187.61,5.9,IDLE,open,
45.585,1169.66,5.2,IDLE,open,
45.627,1239.00,7.2,IDLE,open,
45.674,1237.72,7.7,IDLE,open,
45.721,1238.07,8.8,IDLE,open,
45.766,1247.04,9.5,IDLE,open,
45.813,1248.51,11.9,IDLE,open,
45.859,1243.00,15.1,IDLE,open,
45.909,1256.97,16.5,IDLE,open,
45.950,1266.30,19.0,IDLE,open,
45.998,1272.98,17.2,IDLE,open,
46.043,1291.04,16.7,IDLE,open,
46.089,1296.52,15.3,IDLE,open,
46.136,1307.65,15.0,IDLE,open,
46.184,1319.79,14.6,IDLE,open,
46.236,1317.08,14.6,IDLE,open,
46.278,1337.45,14.5,IDLE,open,
46.326,1334.15,14.1,IDLE,open,
46.372,1331.51,14.0,IDLE,open,
46.418,1338.02,14.6,IDLE,open,
46.464,1330.13,12.0,IDLE,open,
46.510,1319.81,11.3,IDLE,open,
46.553,1312.94,9.1,IDLE,open,
46.603,1305.06,5.7,IDLE,open,
46.649,1292.04,4.9,IDLE,open,
46.692,1290.39,5.8,IDLE,open,
46.754,1265.77,9.2,IDLE,open,
46.798,1264.10,11.5,IDLE,open,
46.843,1258.50,10.6,IDLE,open,
46.890,1241.27,12.1,IDLE,open,
46.933,1221.31,12.2,IDLE,open,
46.983,1218.94,13.6,IDLE,open,
47.026,1240.15,15.4,IDLE,open,
47.073,1244.28,14.0,IDLE,open,
47.118,1237.24,14.1,IDLE,open,
47.165,1253.19,15.0,IDLE,open,
47.212,1251.28,14.7,IDLE,open,
47.258,1254.96,13.4,IDLE,open,
47.308,1258.90,15.3,IDLE,open,
47.352,1266.84,14.1,IDLE,open,
47.399,1265.46,14.6,IDLE,open,
47.446,1250.25,13.2,IDLE,open,
47.490,1249.93,12.5,IDLE,open,
47.539,1229.09,10.9,IDLE,open,
47.583,1213.21,10.9,IDLE,open,
47.635,1190.85,8.1,IDLE,open,
47.678,1193.61,6.1,IDLE,open,
47.725,1184.68,5.4,IDLE,open,
47.782,1168.25,4.0,IDLE,open,
47.831,1173.14,4.9,IDLE,open,
47.876,1151.93,5.0,IDLE,open,
47.921,1156.87,6.1,IDLE,open,
47.970,1212.33,5.7,IDLE,open,
48.013,1227.87,8.1,IDLE,open,
48.053,1254.18,9.2,IDLE,open,
48.099,1246.69,10.9,IDLE,open,
48.147,1246.85,15.0,IDLE,open,
48.192,1277.92,15.6,IDLE,open,
48.320,1300.53,19.8,IDLE,open,
48.353,1311.38,21.9,IDLE,open,
48.403,1326.08,24.8,IDLE,open,
48.444,1339.49,25.6,IDLE,open,
48.489,1343.65,26.1,IDLE,open,
48.536,1341.44,25.2,IDLE,open,
48.583,1328.87,25.9,IDLE,open,
48.631,1330.30,26.0,IDLE,open,
48.676,1311.19,25.2,IDLE,open,
48.728,1300.12,25.2,IDLE,open,
48.770,1292.56,24.9,IDLE,open,
48.817,1292.92,22.8,IDLE,open,
48.863,1300.30,22.6,IDLE,open,
48.910,1282.57,23.6,IDLE,open,
48.958,1284.09,22.6,IDLE,open,
49.004,1289.87,21.8,IDLE,open,
49.057,1288.95,21.3,IDLE,open,
49.098,1308.37,19.3,IDLE,open,
49.147,1298.19,17.1,IDLE,open,
49.203,1289.29,16.2,IDLE,open,
49.245,1260.29,14.9,IDLE,open,
49.297,1260.22,15.6,IDLE,open,
49.334,1240.40,13.7,IDLE,open,
49.381,1224.62,13.6,IDLE,open,
49.437,1202.80,11.4,IDLE,open,
49.488,1173.41,10.2,IDLE,open,
49.526,1165.98,8.2,IDLE,open,
49.577,1157.46,6.7,IDLE,open,
49.623,1148.84,5.1,IDLE,open,
49.670,1140.34,4.5,IDLE,open,
49.718,1138.51,4.5,IDLE,open,
49.763,1121.72,4.0,IDLE,open,
49.815,1104.47,5.1,IDLE,open,
49.857,1089.52,5.2,IDLE,open,
49.895,1074.43,6.4,IDLE,open,
49.949,1048.22,7.6,IDLE,open,
49.996,1036.19,9.8,IDLE,open,
50.044,1027.60,13.1,IDLE,open,
50.088,1027.25,12.8,IDLE,open,
50.140,1018.38,14.0,IDLE,open,
50.176,1009.92,14.7,IDLE,open,
50.227,1008.54,14.7,IDLE,open,
50.274,1010.10,15.1,IDLE,open,
50.318,1004.13,15.5,IDLE,open,
50.369,1010.02,13.7,IDLE,open,
50.414,1010.48,12.7,IDLE,open,
50.464,1015.60,12.2,IDLE,open,
50.506,1021.09,12.0,IDLE,open,
50.556,1027.35,10.2,IDLE,open,
50.598,1023.73,9.5,IDLE,open,
50.646,1025.57,8.4,IDLE,open,
50.693,1026.03,9.1,IDLE,open,
50.738,1038.08,8.9,IDLE,open,
50.801,1048.60,9.6,IDLE,open,
50.845,1048.83,9.2,IDLE,open,
50.898,1053.94,9.2,IDLE,open,
50.938,1062.66,10.2,IDLE,open,
50.983,1089.58,10.7,IDLE,open,
51.032,1087.54,12.6,IDLE,open,
51.078,1164.42,12.8,IDLE,open,
51.117,1212.43,13.4,IDLE,open,
51.171,1217.52,13.3,IDLE,open,
51.223,1231.55,14.3,IDLE,open,
51.266,1235.05,15.3,IDLE,open,
51.312,1301.90,15.4,IDLE,open,
51.359,1331.40,14.7,IDLE,open,
51.405,1332.54,14.7,IDLE,open,
51.454,1331.62,13.1,IDLE,open,
51.499,1331.67,12.4,IDLE,open,
51.556,1325.12,10.4,IDLE,open,
51.588,1318.04,11.3,IDLE,open,
51.637,1305.37,9.4,IDLE,open,
51.684,1294.31,8.7,IDLE,open,
51.732,1279.71,7.5,IDLE,open,
51.778,1263.39,8.1,IDLE,open,
52.121,1243.68,13.6,IDLE,open,
