t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
12.016,1300.81,3799.02,2109.31,6.6,IDLE,close,
12.065,1259.94,3866.52,2158.29,4.3,IDLE,close,
12.109,1238.72,3921.60,2176.55,3.6,IDLE,close,
12.158,1373.71,4060.29,2288.48,4.4,IDLE,close,
12.204,1157.02,4224.72,2336.79,8.9,IDLE,close,
12.251,1353.85,4210.65,2304.85,14.2,IDLE,close,
12.299,1165.42,4185.97,2276.03,15.7,IDLE,close,
12.342,1406.59,4156.88,2239.59,20.0,IDLE,close,
12.393,1153.20,4141.50,2220.13,23.2,IDLE,close,
12.438,1074.36,4128.81,2195.22,25.5,IDLE,close,
12.486,946.19,4118.83,2189.71,28.8,IDLE,close,
12.530,1003.03,4126.02,2180.54,28.2,IDLE,close,
12.586,982.73,4132.65,2166.29,28.9,IDLE,close,
12.626,911.81,4040.08,2134.77,31.7,IDLE,close,
12.671,811.67,3989.81,2117.39,33.5,IDLE,close,
12.720,697.52,3974.26,2118.72,30.6,IDLE,close,
12.765,611.58,3946.55,2102.63,33.0,IDLE,close,
12.814,491.67,3933.38,2104.69,31.0,IDLE,close,
12.858,472.51,3924.92,2116.47,31.1,IDLE,close,
12.905,381.59,3915.52,2126.41,32.9,IDLE,close,
12.954,388.82,3912.81,2159.00,31.9,IDLE,close,
13.000,356.47,3871.98,2148.15,31.6,IDLE,close,
13.050,551.76,3522.02,2438.00,213.8,PULSE,close,
13.094,373.20,2356.24,1914.02,138.5,PULSE,close,
13.143,572.98,1990.90,1298.62,80.5,PULSE,close,
13.188,503.07,2123.02,1312.13,145.0,PULSE,close,
13.237,622.35,2332.09,1518.45,158.9,PULSE,close,
13.284,626.67,2502.11,1723.22,151.1,PULSE,close,
13.329,627.42,2436.25,1525.03,126.1,PULSE,close,
13.378,779.24,2096.43,1082.25,91.0,PULSE,close,
13.423,595.43,1812.81,701.39,57.1,PULSE,close,
13.472,850.43,1796.31,586.24,29.4,PULSE,close,
13.517,628.11,1786.29,593.89,10.7,REFRACTORY,open,open
13.567,922.25,1771.77,669.02,4.8,REFRACTORY,open,
13.605,807.73,1824.44,627.07,5.2,REFRACTORY,open,
13.660,965.33,1815.43,638.68,7.7,REFRACTORY,open,
13.710,757.02,1786.96,632.62,8.0,REFRACTORY,open,
13.745,850.99,1715.66,660.28,7.3,REFRACTORY,open,
13.804,773.11,1773.76,655.17,4.9,REFRACTORY,open,
13.840,790.66,1685.78,663.77,4.2,REFRACTORY,open,
13.899,764.86,1687.68,613.70,4.8,REFRACTORY,open,
13.936,655.66,1760.98,658.59,3.1,REFRACTORY,open,
13.993,764.70,1772.37,903.91,6.2,REFRACTORY,open,
14.029,578.55,2592.42,1523.12,5.0,REFRACTORY,open,
14.085,762.39,2362.66,1168.46,5.0,REFRACTORY,open,
14.120,549.62,2450.42,1544.86,4.3,REFRACTORY,open,
14.180,757.45,2871.41,2016.45,2.8,REFRACTORY,open,
14.214,549.58,2955.94,2130.32,2.7,REFRACTORY,open,
14.277,736.05,3042.16,2050.02,2.7,REFRACTORY,open,
14.311,579.25,3189.80,2023.85,2.9,REFRACTORY,open,
14.368,687.75,3486.98,2042.13,3.3,REFRACTORY,open,
14.403,654.26,3753.52,2150.94,3.3,REFRACTORY,open,
14.464,673.30,4449.25,2588.09,3.2,REFRACTORY,open,
14.510,600.17,4721.83,2845.92,6.0,REFRACTORY,open,
14.558,614.68,4725.96,2847.45,4.7,REFRACTORY,open,
14.607,623.19,4725.55,2847.69,5.6,REFRACTORY,open,
14.668,629.51,4724.11,2848.27,7.2,REFRACTORY,open,
14.779,768.11,4721.92,2845.21,7.7,REFRACTORY,open,
14.811,737.25,4716.97,2836.02,9.4,REFRACTORY,open,
14.843,600.68,4709.41,2828.63,9.8,REFRACTORY,open,
14.900,764.92,4628.93,2761.72,10.6,REFRACTORY,open,
14.933,610.42,4517.60,2659.10,14.3,REFRACTORY,open,
14.996,727.04,4524.18,2667.26,13.6,REFRACTORY,open,
15.031,597.72,4510.34,2650.85,13.6,REFRACTORY,open,
15.087,686.10,4473.08,2611.15,16.0,REFRACTORY,open,
15.123,623.08,4469.78,2605.85,15.6,REFRACTORY,open,
15.182,637.70,4442.17,2580.01,16.0,REFRACTORY,open,
15.216,622.42,4442.62,2579.28,14.3,REFRACTORY,open,
15.275,591.65,4434.57,2570.71,11.3,IDLE,open,
15.307,662.99,4430.19,2561.40,10.9,IDLE,open,
15.366,534.20,4429.29,2575.22,6.9,IDLE,open,
15.414,641.65,4428.81,2580.83,4.7,IDLE,open,
15.459,506.10,4422.72,2577.59,5.0,IDLE,open,
15.504,647.98,4435.64,2589.54,2.4,IDLE,open,
15.556,466.78,4444.59,2594.62,4.1,IDLE,open,
15.602,629.09,4441.25,2594.01,5.5,IDLE,open,
15.652,484.42,4445.20,2593.53,5.5,IDLE,open,
15.691,548.22,4449.40,2588.15,5.3,IDLE,open,
15.741,524.38,4454.38,2596.36,4.5,IDLE,open,
15.788,512.07,4467.25,2591.69,5.3,IDLE,open,
15.836,555.21,4477.11,2591.80,4.9,IDLE,open,
15.880,462.93,4485.49,2594.69,4.7,IDLE,open,
15.929,586.74,4478.91,2589.84,7.3,IDLE,open,
15.975,434.15,4482.52,2597.13,6.2,IDLE,open,
16.022,568.81,4497.20,2594.86,9.0,IDLE,open,
16.059,573.50,3404.06,2488.95,98.5,PULSE,open,
16.113,859.04,4167.06,2937.15,385.0,PULSE,open,
16.161,669.40,2654.35,2355.95,184.2,PULSE,open,
16.208,901.79,1891.77,1100.86,70.2,PULSE,open,
16.255,822.46,1883.91,1204.89,135.7,PULSE,open,
16.302,1091.10,2385.83,1558.18,206.7,PULSE,open,
16.347,1047.18,2654.72,1967.27,234.1,PULSE,open,
16.395,1254.13,2706.16,2264.55,254.3,PULSE,open,
16.441,1278.92,2509.48,2588.03,231.8,PULSE,open,
16.489,1382.25,1637.06,2612.34,165.3,PULSE,open,
16.536,1379.22,1086.00,1496.24,98.2,PULSE,open,
16.584,1327.55,792.53,859.30,48.2,PULSE,open,
16.631,1446.29,670.28,850.59,13.6,REFRACTORY,open,
16.671,1306.85,641.46,943.27,13.5,REFRACTORY,open,
16.720,1486.11,547.78,842.22,33.5,REFRACTORY,open,
16.766,1341.14,643.41,751.19,49.2,REFRACTORY,open,
16.816,1504.91,648.55,777.61,57.8,REFRACTORY,open,
16.863,1386.36,589.28,802.46,59.9,REFRACTORY,open,
16.910,1523.25,553.75,849.08,63.0,REFRACTORY,open,
16.955,1446.89,477.99,982.93,63.6,REFRACTORY,open,
17.001,1567.08,536.28,1059.89,60.9,REFRACTORY,open,
17.048,1659.43,1266.85,2207.69,59.5,REFRACTORY,open,
17.095,1570.02,2174.80,1866.00,61.3,REFRACTORY,open,
17.144,1577.38,1725.59,1413.03,57.9,REFRACTORY,open,
17.189,1592.71,1530.35,1307.74,57.9,REFRACTORY,open,
17.236,1586.21,1797.42,2011.73,56.3,REFRACTORY,open,
17.282,1419.70,2810.69,2620.98,56.9,REFRACTORY,open,
17.329,1523.85,3151.53,2705.40,59.6,REFRACTORY,open,
17.375,1277.05,3149.27,2568.11,62.3,REFRACTORY,open,
17.422,1534.05,3029.32,2373.20,67.2,REFRACTORY,open,
17.469,1162.90,2910.02,2235.50,71.4,REFRACTORY,open,
17.518,1556.92,3053.06,2034.46,72.5,REFRACTORY,open,
17.563,1352.01,3418.72,1936.91,70.0,REFRACTORY,open,
17.609,1496.21,3269.50,1793.97,60.5,REFRACTORY,open,
17.655,1430.15,3210.04,1579.78,44.6,REFRACTORY,open,
